ENGINE_LOAD  (percent),COOLANT_TEMP  (degC),SHORT_FUEL_TRIM_1  (percent),LONG_FUEL_TRIM_1  (percent),INTAKE_PRESSURE  (kilopascal),RPM  (revolutions_per_minute),SPEED  (kph),TIMING_ADVANCE  (degree),INTAKE_TEMP  (degC),THROTTLE_POS  (percent),,O2_B1S2  (volt),,RUN_TIME  (second),,,EVAPORATIVE_PURGE  (percent),FUEL_LEVEL  (percent),WARMUPS_SINCE_DTC_CLEAR  (count),DISTANCE_SINCE_DTC_CLEAR  (kilometer),EVAP_VAPOR_PRESSURE  (pascal),,O2_S1_WR_CURRENT  (milliampere),CATALYST_TEMP_B1S1  (degC),CATALYST_TEMP_B1S2  (degC),,,CONTROL_MODULE_VOLTAGE  (volt),ABSOLUTE_LOAD  (percent),COMMANDED_EQUIV_RATIO  (ratio),RELATIVE_THROTTLE_POS  (percent),,THROTTLE_POS_B  (percent),ACCELERATOR_POS_D  (percent),ACCELERATOR_POS_E  (percent),THROTTLE_ACTUATOR  (percent),,,SHORT_O2_TRIM_B1  (percent)
64.314,87,-1.562,0.781,64,1473,9,23,67,18.039,,0.035,,155,,,74.118,40,255,5751,-194.25,,0.016,368.7,350.7,,,14.274,40.392,1.001,9.804,,17.647,26.275,25.49,11.373,,,-13.281
67.059,87,-1.562,0.781,65,1778,14,29,67,18.431,,0.38,,156,,,85.098,41.961,255,5751,-194.25,,0.008,369.4,350.8,,,14.376,36.863,1.002,10.196,,18.039,26.275,25.49,11.765,,,0
61.176,87,3.125,0.781,61,2116,17,19,67,20.784,,0.82,,157,,,95.294,39.216,255,5751,-292.75,,0.117,371.3,351.3,,,14.376,50.196,0.999,12.549,,20,27.451,27.059,14.118,,,-3.906
72.941,87,4.688,0.781,72,1828,22,8,66,20.784,,0.75,,158,,,95.294,39.608,255,5751,-454.25,,-0.043,373.6,352.6,,,14.274,50.588,0.999,12.549,,20,27.451,27.059,14.51,,,-2.344
74.118,87,3.906,0.781,73,1901,25,14,66,20.784,,0.305,,159,,,95.294,38.431,255,5751,-454.25,,-0.16,376.8,355.2,,,14.274,49.02,1,10.196,,17.647,25.098,24.314,11.373,,,-4.688
61.176,87,0.781,0.781,59,2014,29,31.5,66,19.216,,0.77,,160,,,95.294,36.863,255,5751,-422.75,,0.043,380.8,358,,,14.274,43.137,1,11.765,,19.216,26.667,25.882,12.941,,,-2.344
66.667,87,2.344,0.781,65,1754,31,21,66,18.824,,0.08,,161,,,83.529,42.353,255,5751,-519.25,,-0.367,384.2,361.1,,,14.274,36.078,1.002,7.059,,15.294,21.961,21.961,8.627,,,-3.125
61.961,87,-0.781,0.781,64,1600,33,14,66,29.412,,0.765,,162,,,95.294,37.255,255,5751,-340.5,,0,389.2,364.9,,,14.274,56.863,0.998,10.588,,16.863,15.294,15.294,5.098,,,35.938
56.078,87,6.25,0.781,54,1236,34,-4,66,14.902,,0.095,,162,,,45.882,33.333,255,5751,-210.5,,-0.527,392,368.3,,,14.274,24.706,1.001,3.922,,12.549,15.294,15.294,4.706,,,-10.938
35.294,87,0,1.562,33,1229,35,6,66,13.725,,0.795,,163,,,29.02,34.51,255,5751,-15.5,,-0.141,393.6,371.5,,,14.274,17.255,1.001,3.922,,12.549,15.294,15.294,4.706,,,0
29.02,87,-3.906,1.562,28,1208,34,13.5,66,13.725,,0.735,,164,,,27.059,32.941,255,5751,-15.5,,-0.02,394.7,373.7,,,14.274,16.471,1.001,3.922,,12.549,15.294,15.294,4.706,,,0
29.02,87,-1.562,3.125,28,1164,33,13.5,66,13.725,,0.715,,165,,,25.882,29.412,255,5751,49.5,,0.059,396.1,375.9,,,14.376,16.863,1.001,4.314,,12.941,15.294,15.294,4.706,,,0
30.588,88,0.781,5.469,30,1074,30,11,66,13.725,,0.28,,166,,,25.49,27.059,255,5751,129.75,,0.086,397.2,377.2,,,14.274,18.039,1.001,4.314,,12.549,15.294,15.294,4.706,,,0
32.941,88,2.344,6.25,32,956,25,8,66,13.725,,0.75,,167,,,23.922,19.608,255,5751,146,,-0.07,398.5,377.9,,,14.274,18.039,1.001,3.529,,12.157,15.294,15.294,4.314,,,0
32.157,88,1.562,7.031,31,944,19,13,66,13.333,,0.765,,168,,,23.137,25.882,255,5752,98.25,,-0.141,399.5,377.8,,,14.172,20.392,1.001,3.922,,12.549,15.294,15.294,4.706,,,0
36.078,88,0,7.031,36,782,14,17.5,66,13.725,,0.74,,169,,,25.098,25.882,255,5752,98.25,,0,400.7,378.1,,,14.274,26.667,1.001,4.314,,12.941,15.294,15.294,4.706,,,0
43.529,88,1.562,5.469,42,780,8,3.5,66,12.941,,0.655,,170,,,26.275,26.275,255,5752,129.75,,0.066,401.6,378.9,,,14.376,23.529,1.001,3.529,,12.157,24.706,25.098,8.235,,,0
50.98,88,3.125,2.344,56,1126,7,9,66,20,,0.555,,170,,,95.294,27.843,255,5752,81,,0.023,403.4,380,,,14.274,54.902,0.999,12.157,,19.608,27.451,26.275,12.941,,,25.781
71.765,88,4.688,0.781,69,1729,12,26.5,66,17.647,,0.745,,171,,,77.255,36.471,255,5752,-244,,-0.238,407.9,383.2,,,14.274,36.078,1.002,9.02,,16.863,25.49,25.098,10.588,,,0
60,88,0.781,0.781,59,1739,15,14,66,17.647,,0.09,,172,,,63.922,27.451,255,5752,-244,,-0.18,410.8,386.2,,,14.376,38.039,1.002,8.627,,16.471,25.49,25.098,10.196,,,4.688
65.098,88,4.688,0.781,64,1537,17,20.5,66,19.216,,0.13,,173,,,95.294,28.627,255,5752,-324.25,,-0.008,414.8,389.9,,,14.274,56.078,0.999,12.157,,19.608,29.412,28.627,14.51,,,-0.781
81.961,88,7.812,0.781,82,1630,20,9.5,65,22.353,,0.765,,174,,,95.294,27.843,255,5752,-340.5,,-0.094,419.9,393.5,,,14.274,73.725,0.996,20,,26.667,33.333,32.549,22.745,,,-5.469
92.157,88,0.781,0.781,90,2053,25,9.5,65,28.627,,0.69,,175,,,95.294,32.549,255,5752,-210.5,,-0.172,431.1,400.5,,,14.274,71.765,0.994,20.784,,26.667,32.941,32.157,22.745,,,0
88.235,88,-1.562,0.781,86,2362,31,14,65,26.667,,0.715,,176,,,95.294,35.294,255,5752,-145.5,,-0.082,442.2,409.5,,,14.274,64.314,0.994,19.216,,25.49,32.157,31.373,21.569,,,1.562
83.529,88,-0.781,0.781,81,2666,35,19,65,26.275,,0.77,,177,,,95.294,42.353,255,5752,-162.75,,0.023,457.3,422.5,,,14.376,59.608,0.995,17.647,,24.314,30.588,29.804,19.216,,,0
72.941,88,1.562,0.781,70,2888,40,25.5,65,23.922,,0.6,,178,,,95.294,36.863,255,5752,-309,,-0.141,468.6,434.1,,,14.274,52.941,0.995,16.471,,23.529,30.196,29.412,18.824,,,0
81.961,87,1.562,0.781,80,2239,43,9.5,64,24.314,,0.72,,179,,,95.294,34.902,255,5752,-389.25,,-0.074,481.2,447.3,,,14.274,63.529,0.996,16.863,,23.922,29.804,29.02,19.608,,,0.781
82.745,87,2.344,0.781,81,2253,45,11,64,24.314,,0.725,,179,,,95.294,38.039,255,5752,-324.25,,0.031,491.6,457.1,,,14.274,63.922,0.996,16.863,,23.529,29.804,29.02,19.216,,,0
83.137,87,2.344,0.781,81,2228,48,11.5,63,24.314,,0.68,,180,,,95.294,36.863,255,5752,-324.25,,-0.102,504.3,469.6,,,14.274,53.333,0.997,12.157,,19.608,26.667,25.882,14.118,,,0
